name,cpu,ram,counter,timestamp
System Idle Process,1297.5,0.0,17,2019-11-13 22:58:02
System,207.1,0.0,17,2019-11-13 22:58:02
Registry,0.0,4.37,17,2019-11-13 22:58:02
conhost.exe,13.3,10.11,17,2019-11-13 22:58:02
svchost.exe,169.1,174.74,17,2019-11-13 22:58:02
wuauclt.exe,0.0,0.51,17,2019-11-13 22:58:02
smss.exe,0.0,0.0,17,2019-11-13 22:58:02
csrss.exe,8.0,1.87,17,2019-11-13 22:58:02
wininit.exe,0.0,0.17,17,2019-11-13 22:58:02
rundll32.exe,0.0,0.85,17,2019-11-13 22:58:02
winlogon.exe,0.0,0.85,17,2019-11-13 22:58:02
services.exe,0.0,1.53,17,2019-11-13 22:58:02
lsass.exe,1.1,3.18,17,2019-11-13 22:58:02
AvastBrowserCrashHandler64.exe,0.0,0.0,17,2019-11-13 22:58:02
WUDFHost.exe,0.0,0.3,17,2019-11-13 22:58:02
fontdrvhost.exe,0.0,0.85,17,2019-11-13 22:58:02
aswidsagent.exe,8.3,8.84,17,2019-11-13 22:58:02
LockApp.exe,0.0,5.27,17,2019-11-13 22:58:02
wsc_proxy.exe,0.0,0.51,17,2019-11-13 22:58:02
dwm.exe,208.3,13.71,17,2019-11-13 22:58:02
MicrosoftEdge.exe,0.2,8.5,17,2019-11-13 22:58:02
igfxCUIService.exe,0.0,0.68,17,2019-11-13 22:58:02
taskhostw.exe,0.3,6.12,17,2019-11-13 22:58:02
NVDisplay.Container.exe,0.0,6.63,17,2019-11-13 22:58:02
Memory Compression,35.2,15.01,17,2019-11-13 22:58:02
igfxEM.exe,0.0,1.32,17,2019-11-13 22:58:02
igfxHK.exe,0.0,1.02,17,2019-11-13 22:58:02
armsvc.exe,0.0,2.89,17,2019-11-13 22:58:02
RtkAudioService64.exe,0.0,0.68,17,2019-11-13 22:58:02
RAVBg64.exe,1420.1,2.85,17,2019-11-13 22:58:02
AdAppMgrSvc.exe,0.0,1.78,17,2019-11-13 22:58:02
igfxTray.exe,0.0,1.02,17,2019-11-13 22:58:02
AvastSvc.exe,22.6,60.55,17,2019-11-13 22:58:02
BtwRSupportService.exe,0.0,0.34,17,2019-11-13 22:58:02
sqlbrowser.exe,0.0,0.25,17,2019-11-13 22:58:02
spoolsv.exe,0.0,1.83,17,2019-11-13 22:58:02
FNPLicensingService64.exe,0.1,0.51,17,2019-11-13 22:58:02
sqlwriter.exe,0.0,0.51,17,2019-11-13 22:58:02
SynTPEnhService.exe,0.0,0.34,17,2019-11-13 22:58:02
RuntimeBroker.exe,1.2,44.57,17,2019-11-13 22:58:02
TeamViewer_Service.exe,0.4,1.19,17,2019-11-13 22:58:02
SecurityHealthService.exe,0.0,1.53,17,2019-11-13 22:58:02
chrome.exe,692.3,502.65,17,2019-11-13 22:58:02
ctfmon.exe,4.3,2.04,17,2019-11-13 22:58:02
sqlceip.exe,0.7,3.53,17,2019-11-13 22:58:02
AvastUI.exe,9.5,12.24,17,2019-11-13 22:58:02
SkypeBackgroundHost.exe,0.0,1.53,17,2019-11-13 22:58:02
unsecapp.exe,0.0,0.85,17,2019-11-13 22:58:02
SynTPEnh.exe,0.0,2.34,17,2019-11-13 22:58:02
sihost.exe,3.2,7.82,17,2019-11-13 22:58:02
SynTPHelper.exe,0.0,0.17,17,2019-11-13 22:58:02
CCXProcess.exe,0.0,0.51,17,2019-11-13 22:58:02
explorer.exe,18.2,30.2,17,2019-11-13 22:58:02
MicrosoftEdgeCP.exe,0.0,20.1,17,2019-11-13 22:58:02
