name,cpu,ram,counter,timestamp
System Idle Process,160.4,0.0,1,2019-11-16 17:03:02
System,5.1,0.0,1,2019-11-16 17:03:02
Registry,0.0,0.2,1,2019-11-16 17:03:02
conhost.exe,0.0,0.6,1,2019-11-16 17:03:02
svchost.exe,2.5,9.22,1,2019-11-16 17:03:02
wuauclt.exe,0.0,0.03,1,2019-11-16 17:03:02
smss.exe,0.0,0.0,1,2019-11-16 17:03:02
csrss.exe,0.2,0.1,1,2019-11-16 17:03:02
wininit.exe,0.0,0.01,1,2019-11-16 17:03:02
rundll32.exe,0.0,0.05,1,2019-11-16 17:03:02
winlogon.exe,0.0,0.04,1,2019-11-16 17:03:02
services.exe,0.0,0.08,1,2019-11-16 17:03:02
lsass.exe,0.0,0.19,1,2019-11-16 17:03:02
AvastBrowserCrashHandler64.exe,0.0,0.0,1,2019-11-16 17:03:02
WUDFHost.exe,0.0,0.02,1,2019-11-16 17:03:02
fontdrvhost.exe,0.0,0.06,1,2019-11-16 17:03:02
aswidsagent.exe,0.0,0.54,1,2019-11-16 17:03:02
LockApp.exe,0.0,0.31,1,2019-11-16 17:03:02
wsc_proxy.exe,0.0,0.03,1,2019-11-16 17:03:02
dwm.exe,0.4,0.47,1,2019-11-16 17:03:02
SkypeBridge.exe,0.0,0.7,1,2019-11-16 17:03:02
SearchProtocolHost.exe,0.0,0.11,1,2019-11-16 17:03:02
igfxCUIService.exe,0.0,0.05,1,2019-11-16 17:03:02
taskhostw.exe,0.0,0.37,1,2019-11-16 17:03:02
NVDisplay.Container.exe,0.0,0.36,1,2019-11-16 17:03:02
Memory Compression,0.0,4.44,1,2019-11-16 17:03:02
igfxEM.exe,0.0,0.07,1,2019-11-16 17:03:02
igfxHK.exe,0.0,0.06,1,2019-11-16 17:03:02
armsvc.exe,0.0,0.17,1,2019-11-16 17:03:02
RtkAudioService64.exe,0.0,0.04,1,2019-11-16 17:03:02
RAVBg64.exe,95.7,0.14,1,2019-11-16 17:03:02
AdAppMgrSvc.exe,0.0,0.1,1,2019-11-16 17:03:02
igfxTray.exe,0.0,0.05,1,2019-11-16 17:03:02
AvastSvc.exe,0.2,4.94,1,2019-11-16 17:03:02
